N/D,YBNN,NBYN,NBYY,NBNN,NBNY,YWYN,YBYN,YWNN,YBNY,NWYY,YWYY,YWNY,NWYN,YBYY,NWNY,NWNN
YBNN,1,1.23,1.29,1.33,1.39,1.55,1.59,1.65,1.88,1.96,2.16,2.30,2.53,2.98,3.60,4.63
NBYN,0.81,1,1.04,1.08,1.13,1.25,1.29,1.34,1.52,1.59,1.75,1.87,2.05,2.42,2.92,3.76
NBYY,0.78,0.96,1,1.03,1.08,1.20,1.23,1.28,1.46,1.52,1.67,1.79,1.96,2.31,2.79,3.60
NBNN,0.75,0.93,0.97,1,1.04,1.16,1.19,1.24,1.41,1.47,1.62,1.73,1.90,2.24,2.70,3.48
NBNY,0.72,0.89,0.93,0.96,1,1.11,1.14,1.19,1.35,1.41,1.55,1.65,1.81,2.14,2.59,3.33
YWYN,0.65,0.80,0.83,0.86,0.90,1,1.03,1.07,1.21,1.27,1.39,1.49,1.63,1.93,2.33,3.00
YBYN,0.63,0.78,0.81,0.84,0.88,0.97,1,1.04,1.18,1.23,1.36,1.45,1.59,1.88,2.26,2.91
YWNN,0.61,0.75,0.78,0.81,0.84,0.94,0.96,1,1.14,1.19,1.31,1.39,1.53,1.81,2.18,2.81
YBNY,0.53,0.66,0.69,0.71,0.74,0.82,0.85,0.88,1,1.05,1.15,1.23,1.35,1.59,1.92,2.47
NWYY,0.51,0.63,0.66,0.68,0.71,0.79,0.81,0.84,0.96,1,1.10,1.17,1.29,1.52,1.83,2.36
YWYY,0.46,0.57,0.60,0.62,0.65,0.72,0.74,0.77,0.87,0.91,1,1.07,1.17,1.38,1.67,2.15
YWNY,0.43,0.54,0.56,0.58,0.60,0.67,0.69,0.72,0.81,0.85,0.94,1,1.10,1.30,1.56,2.01
NWYN,0.40,0.49,0.51,0.53,0.55,0.61,0.63,0.65,0.74,0.78,0.85,0.91,1,1.18,1.42,1.83
YBYY,0.34,0.41,0.43,0.45,0.47,0.52,0.53,0.55,0.63,0.66,0.72,0.77,0.85,1,1.21,1.55
NWNY,0.28,0.34,0.36,0.37,0.39,0.43,0.44,0.46,0.52,0.55,0.60,0.64,0.70,0.83,1,1.29
NWNN,0.22,0.27,0.28,0.29,0.30,0.33,0.34,0.36,0.40,0.42,0.47,0.50,0.55,0.64,0.78,1
