CodeSystem,ConceptCode,ConceptName
ICD10CM,D50,Iron deficiency anemia
ICD10CM,D55,Anemia due to enzyme disorders
ICD10CM,D56,Thalassemia
ICD10CM,D57.1,Sickle-cell disease without crisis
ICD10CM,D57.20,Sickle-cell/Hb-C disease without crisis
ICD10CM,D57.3,Sickle-cell trait
ICD10CM,D57.40,Sickle-cell thalassemia without crisis
ICD10CM,D57.80,Other sickle-cell disorders without crisis
ICD10CM,D58,Other hereditary hemolytic anemias
ICD10CM,D59,Acquired hemolytic anemia
ICD10CM,O99.01,Anemia complicating pregnancy
ICD10CM,O99.02,Anemia complicating childbirth
ICD10CM,D55.29,Anemia due to other disorders of glycolytic enzymes
ICD10CM,D55.21,Anemia due to pyruvate kinase deficiency
ICD10CM,D50.0,Iron deficiency anemia secondary to blood loss (chronic)
ICD10CM,D50.1,Sideropenic dysphagia
ICD10CM,D50.8,Other iron deficiency anemias
ICD10CM,D50.9,"Iron deficiency anemia, unspecified"
ICD10CM,D55.0,Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
ICD10CM,D55.1,Anemia due to other disorders of glutathione metabolism
ICD10CM,D55.2,Anemia due to disorders of glycolytic enzymes
ICD10CM,D55.3,Anemia due to disorders of nucleotide metabolism
ICD10CM,D55.8,Other anemias due to enzyme disorders
ICD10CM,D55.9,"Anemia due to enzyme disorder, unspecified"
ICD10CM,D56.0,Alpha thalassemia
ICD10CM,D56.1,Beta thalassemia
ICD10CM,D56.2,Delta-beta thalassemia
ICD10CM,D56.3,Thalassemia minor
ICD10CM,D56.4,Hereditary persistence of fetal hemoglobin [HPFH]
ICD10CM,D56.5,Hemoglobin E-beta thalassemia
ICD10CM,D56.8,Other thalassemias
ICD10CM,D56.9,"Thalassemia, unspecified"
ICD10CM,D58.0,Hereditary spherocytosis
ICD10CM,D58.1,Hereditary elliptocytosis
ICD10CM,D58.2,Other hemoglobinopathies
ICD10CM,D58.8,Other specified hereditary hemolytic anemias
ICD10CM,D58.9,"Hereditary hemolytic anemia, unspecified"
ICD10CM,D59.0,Drug-induced autoimmune hemolytic anemia
ICD10CM,D59.1,Other autoimmune hemolytic anemias
ICD10CM,D59.2,Drug-induced nonautoimmune hemolytic anemia
ICD10CM,D59.3,Hemolytic-uremic syndrome
ICD10CM,D59.4,Other nonautoimmune hemolytic anemias
ICD10CM,D59.5,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]
ICD10CM,D59.6,Hemoglobinuria due to hemolysis from other external causes
ICD10CM,D59.8,Other acquired hemolytic anemias
ICD10CM,D59.9,"Acquired hemolytic anemia, unspecified"
ICD10CM,O99.011,"Anemia complicating pregnancy, first trimester"
ICD10CM,O99.012,"Anemia complicating pregnancy, second trimester"
ICD10CM,O99.013,"Anemia complicating pregnancy, third trimester"
ICD10CM,O99.019,"Anemia complicating pregnancy, unspecified trimester"
ICD10CM,D59.10,"Autoimmune hemolytic anemia, unspecified"
ICD10CM,D59.11,Warm autoimmune hemolytic anemia
ICD10CM,D59.12,Cold autoimmune hemolytic anemia
ICD10CM,D59.13,Mixed type autoimmune hemolytic anemia
ICD10CM,D59.19,Other autoimmune hemolytic anemia
SNOMED CT,4854004,Acquired hemolytic anemia
SNOMED CT,16402000,Sickle cell trait
SNOMED CT,27342004,Anemia of pregnancy
SNOMED CT,87522002,Iron deficiency anemia
SNOMED CT,111577008,Anemia due to enzyme deficiency
SNOMED CT,10741751000119100,Anemia in mother complicating childbirth
SNOMED CT,38911009,Hereditary hemolytic anemia
SNOMED CT,40108008,Thalassemia
SNOMED CT,416180004,Hemoglobin SS disease without crisis
SNOMED CT,417048006,Sickle cell-thalassemia disease without crisis
SNOMED CT,417683006,Sickle cell-hemoglobin C disease without crisis
SNOMED CT,934007,Thalassemia intermedia
SNOMED CT,3978000,Warm autoimmune hemolytic anemia
SNOMED CT,4939006,Hemolytic anemia due to nonlymphoid neoplasm
SNOMED CT,5300004,Hemoglobin Bart's hydrops syndrome
SNOMED CT,5315003,Hemolytic anemia due to erythrocyte adenosine deaminase overproduction
SNOMED CT,5994005,Hereditary elliptocytosis due to deficiency of protein 4.1
SNOMED CT,6398009,Idiopathic chronic cold agglutinin disease
SNOMED CT,8857001,Hereditary elliptocytosis due to alpha spectrin defect
SNOMED CT,10564005,Severe hereditary spherocytosis due to combined deficiency of spectrin AND ankyrin
