CodeSystem,ConceptCode,ConceptName
ICD9CM,493.01,Extrinsic asthma with status asthmaticus
ICD9CM,493.02,Extrinsic asthma with (acute) exacerbation
ICD9CM,493.11,Intrinsic asthma with status asthmaticus
ICD9CM,493.12,Intrinsic asthma with (acute) exacerbation
ICD9CM,493.21,Chronic obstructive asthma with status asthmaticus
ICD9CM,493.22,Chronic obstructive asthma with (acute) exacerbation
ICD9CM,493.91,"Asthma, unspecified type, with status asthmaticus"
ICD9CM,493.92,"Asthma, unspecified type, with (acute) exacerbation"
ICD10CM,J45.21,Mild intermittent asthma with (acute) exacerbation
ICD10CM,J45.22,Mild intermittent asthma with status asthmaticus
ICD10CM,J45.31,Mild persistent asthma with (acute) exacerbation
ICD10CM,J45.32,Mild persistent asthma with status asthmaticus
ICD10CM,J45.4,Moderate persistent asthma
ICD10CM,J45.40,"Moderate persistent asthma, uncomplicated"
ICD10CM,J45.41,Moderate persistent asthma with (acute) exacerbation
ICD10CM,J45.42,Moderate persistent asthma with status asthmaticus
ICD10CM,J45.5,Severe persistent asthma
ICD10CM,J45.50,"Severe persistent asthma, uncomplicated"
ICD10CM,J45.51,Severe persistent asthma with (acute) exacerbation
ICD10CM,J45.52,Severe persistent asthma with status asthmaticus
ICD10CM,J45.901,Unspecified asthma with (acute) exacerbation
ICD10CM,J45.902,Unspecified asthma with status asthmaticus
ICD10CM,O99.5,"Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium"
ICD10CM,O99.51,Diseases of the respiratory system complicating pregnancy
ICD10CM,O99.511,"Diseases of the respiratory system complicating pregnancy, first trimester"
ICD10CM,O99.512,"Diseases of the respiratory system complicating pregnancy, second trimester"
ICD10CM,O99.513,"Diseases of the respiratory system complicating pregnancy, third trimester"
ICD10CM,O99.519,"Diseases of the respiratory system complicating pregnancy, unspecified trimester"
ICD10CM,O99.52,Diseases of the respiratory system complicating childbirth
ICD10CM,O99.53,Diseases of the respiratory system complicating the puerperium
SNOMED CT,1751000119100,Acute exacerbation of chronic obstructive airways disease with asthma
SNOMED CT,99031000119107,Acute exacerbation of asthma co-occurrent with allergic rhinitis
SNOMED CT,124991000119109,Severe persistent asthma co-occurrent with allergic rhinitis
SNOMED CT,125001000119103,Moderate persistent asthma co-occurrent with allergic rhinitis
SNOMED CT,10674711000119105,Acute severe exacerbation of asthma co-occurrent with allergic rhinitis
SNOMED CT,10675431000119106,Severe persistent allergic asthma
SNOMED CT,10675471000119109,Acute severe exacerbation of severe persistent allergic asthma
SNOMED CT,10675551000119104,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis
SNOMED CT,10675911000119109,Acute severe exacerbation of mild persistent allergic asthma
SNOMED CT,10675991000119100,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis
SNOMED CT,10676391000119108,Moderate persistent allergic asthma
SNOMED CT,10676431000119103,Acute severe exacerbation of moderate persistent allergic asthma
SNOMED CT,10676511000119109,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis
SNOMED CT,10692721000119102,Chronic obstructive asthma co-occurrent with acute exacerbation of asthma
SNOMED CT,707446004,Exacerbation of moderate persistent asthma
SNOMED CT,707447008,Exacerbation of severe persistent asthma
SNOMED CT,707512002,Uncomplicated moderate persistent asthma
SNOMED CT,707513007,Uncomplicated severe persistent asthma
SNOMED CT,707979007,Acute severe exacerbation of severe persistent asthma
SNOMED CT,707980005,Acute severe exacerbation of moderate persistent asthma
SNOMED CT,707981009,Acute severe exacerbation of mild persistent asthma
SNOMED CT,708090002,Acute severe exacerbation of asthma
SNOMED CT,708093000,Acute exacerbation of allergic asthma
SNOMED CT,708094006,Acute exacerbation of intrinsic asthma
SNOMED CT,708095007,Acute severe exacerbation of immunoglobin E-mediated allergic asthma
SNOMED CT,708096008,Acute severe exacerbation of intrinsic asthma
SNOMED CT,370219009,Moderate asthma
SNOMED CT,370221004,Severe asthma
SNOMED CT,426656000,Severe persistent asthma
SNOMED CT,427295004,Moderate persistent asthma
SNOMED CT,442025000,Acute exacerbation of chronic asthmatic bronchitis
SNOMED CT,786836003,Near fatal asthma
SNOMED CT,829976001,Thunderstorm asthma
SNOMED CT,135171000119106,Acute exacerbation of moderate persistent asthma
SNOMED CT,10675391000119101,Severe controlled persistent asthma
SNOMED CT,10675751000119107,Severe uncontrolled persistent asthma
SNOMED CT,733858005,Acute severe refractory exacerbation of asthma
SNOMED CT,734904007,Life threatening acute exacerbation of asthma
SNOMED CT,782513000,Acute severe exacerbation of allergic asthma
