CodeSystem,ConceptCode,ConceptName
ICD9CM,286.0,Congenital factor VIII disorder
ICD9CM,286.1,Congenital factor IX disorder
ICD9CM,286.2,Congenital factor XI deficiency
ICD9CM,286.3,Congenital deficiency of other clotting factors
ICD9CM,286.4,Von Willebrand's disease
ICD9CM,286.5,"Hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
ICD9CM,286.7,Acquired coagulation factor deficiency
ICD9CM,286.9,Other and unspecified coagulation defects
ICD9CM,287,Purpura and other hemorrhagic conditions
ICD10CM,D66,Hereditary factor VIII deficiency
ICD10CM,D67,Hereditary factor IX deficiency
ICD10CM,D68,Other coagulation defects
ICD10CM,D69,Purpura and other hemorrhagic conditions
ICD10CM,D68.0,Von Willebrand's disease
ICD10CM,D68.1,Hereditary factor XI deficiency
ICD10CM,D68.2,Hereditary deficiency of other clotting factors
ICD10CM,D68.3,Hemorrhagic disorder due to circulating anticoagulants
ICD10CM,D68.31,"Hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
ICD10CM,D68.311,Acquired hemophilia
ICD10CM,D68.312,Antiphospholipid antibody with hemorrhagic disorder
ICD10CM,D68.318,"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
ICD10CM,D68.32,Hemorrhagic disorder due to extrinsic circulating anticoagulants
ICD10CM,D68.4,Acquired coagulation factor deficiency
ICD10CM,D68.5,Primary thrombophilia
ICD10CM,D68.51,Activated protein C resistance
ICD10CM,D68.52,Prothrombin gene mutation
ICD10CM,D68.59,Other primary thrombophilia
ICD10CM,D68.6,Other thrombophilia
ICD10CM,D68.61,Antiphospholipid syndrome
ICD10CM,D68.62,Lupus anticoagulant syndrome
ICD10CM,D68.69,Other thrombophilia
ICD10CM,D68.8,Other specified coagulation defects
ICD10CM,D68.9,"Coagulation defect, unspecified"
ICD10CM,D69.0,Allergic purpura
ICD10CM,D69.1,Qualitative platelet defects
ICD10CM,D69.2,Other nonthrombocytopenic purpura
ICD10CM,D69.3,Immune thrombocytopenic purpura
ICD10CM,D69.4,Other primary thrombocytopenia
ICD10CM,D69.41,Evans syndrome
ICD10CM,D69.42,Congenital and hereditary thrombocytopenia purpura
ICD10CM,D69.49,Other primary thrombocytopenia
ICD10CM,D69.5,Secondary thrombocytopenia
ICD10CM,D69.51,Posttransfusion purpura
ICD10CM,D69.59,Other secondary thrombocytopenia
ICD10CM,D69.6,"Thrombocytopenia, unspecified"
ICD10CM,D69.8,Other specified hemorrhagic conditions
ICD10CM,D69.9,"Hemorrhagic condition, unspecified"
SNOMED CT,4320005,Factor V deficiency
SNOMED CT,18604004,Factor XIII deficiency disease
SNOMED CT,19267009,Lupus anticoagulant disorder
SNOMED CT,25904003,Acquired coagulation factor deficiency
SNOMED CT,33297000,Hereditary factor II deficiency disease
SNOMED CT,89729000,Factor IX inhibitor disorder
SNOMED CT,128101008,Platelet factor V deficiency (factor V Quebec)
SNOMED CT,128105004,von Willebrand disorder
SNOMED CT,10749581000119100,Blood coagulation disorder complicating childbirth
SNOMED CT,10749641000119106,Blood coagulation disorder complicating pregnancy
SNOMED CT,28293008,Classical hemophilia
SNOMED CT,31925001,Hereditary hypofibrinogenemia
SNOMED CT,37193007,Stable factor deficiency
SNOMED CT,49762007,Plasma thromboplastin antecedent deficiency
SNOMED CT,88776002,Parahemophilia
SNOMED CT,767712006,Factor IX deficiency
SNOMED CT,767713001,Factor XI deficiency
SNOMED CT,785308008,Acquired hemophilia
SNOMED CT,161460007,H/O: coagulation defect
SNOMED CT,191287000,Hemorrhagic disorder due to circulating anticoagulants
SNOMED CT,234440005,Factor VIII deficiency
SNOMED CT,234454002,Prothrombin complex deficiency
SNOMED CT,234456000,Congenital fibrinogen abnormality
SNOMED CT,234467004,Thrombophilia
SNOMED CT,37350004,Hereditary factor X deficiency disease
SNOMED CT,40855001,Hereditary factor VII deficiency disease
SNOMED CT,43217004,Hereditary factor XII deficiency disease
SNOMED CT,46981006,Factor XII deficiency disease
SNOMED CT,47307007,Factor VIII inhibitor disorder
SNOMED CT,50189006,Hereditary factor XIII deficiency disease
SNOMED CT,55464009,Systemic lupus erythematosus
SNOMED CT,64779008,Blood coagulation disorder
SNOMED CT,439458000,Factor I deficiency disease
SNOMED CT,1177171004,Hyperfibrinolysis
SNOMED CT,1162807005,Acquired prekallikrein deficiency
SNOMED CT,1162804003,Hereditary congenital prekallikrein deficiency
SNOMED CT,1177197005,Antepartum hemorrhage with disseminated intravascular coagulation
SNOMED CT,1286003,Vitamin K deficiency coagulation disorder
SNOMED CT,1908008,"von Willebrand disease, type IIC"
SNOMED CT,2036003,Acquired factor VII deficiency disease
SNOMED CT,3230006,Illegal termination of pregnancy with afibrinogenemia
SNOMED CT,3760002,"Familial multiple factor deficiency syndrome, type V"
SNOMED CT,4676006,"SLE glomerulonephritis syndrome, WHO class II"
SNOMED CT,6364000,Acquired factor XIII deficiency disease
SNOMED CT,6647006,Legal termination of pregnancy with defibrination syndrome
SNOMED CT,6935003,Familial hemorrhagic diathesis
SNOMED CT,9489006,Factor X inhibitor disorder
SNOMED CT,10153004,Systemic fibrinogenolysis
SNOMED CT,10934005,Cryofibrinogenemia
SNOMED CT,11013005,"SLE glomerulonephritis syndrome, WHO class VI"
SNOMED CT,12501008,"von Willebrand disease, type IIF"
SNOMED CT,13507004,Purpura fulminans
SNOMED CT,13993001,Factor XIII inhibitor disorder
SNOMED CT,15132005,Acquired factor XII deficiency disease
SNOMED CT,16773005,Drug-induced coagulation inhibitor disorder
SNOMED CT,16872008,Severe hereditary factor VIII deficiency disease
SNOMED CT,16922007,Hereditary coagulation factor deficiency
SNOMED CT,19307009,Drug-induced immune thrombocytopenia
SNOMED CT,19520006,"von Willebrand disease, type IIB"
SNOMED CT,19682006,Lupus hepatitis
SNOMED CT,21360006,Miscarriage with afibrinogenemia
