CodeSystem,ConceptCode,ConceptName
ICD9CM,394.0,Mitral stenosis
ICD9CM,394.1,Rheumatic mitral insufficiency
ICD9CM,394.2,Mitral stenosis with insufficiency
ICD9CM,394.9,Other and unspecified mitral valve diseases
ICD9CM,402.00,Malignant hypertensive heart disease without heart failure
ICD9CM,402.01,Malignant hypertensive heart disease with heart failure
ICD9CM,402.10,Benign hypertensive heart disease without heart failure
ICD9CM,402.11,Benign hypertensive heart disease with heart failure
ICD9CM,402.90,Unspecified hypertensive heart disease without heart failure
ICD9CM,402.91,Unspecified hypertensive heart disease with heart failure
ICD9CM,404.00,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
ICD9CM,404.01,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
ICD9CM,404.02,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage V or end stage renal disease"
ICD9CM,404.03,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease"
ICD9CM,404.10,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
ICD9CM,404.11,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
ICD9CM,404.12,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage V or end stage renal disease"
ICD9CM,404.13,"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease"
ICD9CM,404.90,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
ICD9CM,404.91,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
ICD9CM,404.92,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease"
ICD9CM,404.93,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease"
ICD9CM,405.01,Malignant renovascular hypertension
ICD9CM,405.09,Other malignant secondary hypertension
ICD9CM,405.11,Benign renovascular hypertension
ICD9CM,405.19,Other benign secondary hypertension
ICD9CM,405.91,Unspecified renovascular hypertension
ICD9CM,405.99,Other unspecified secondary hypertension
ICD9CM,414.2,Chronic total occlusion of coronary artery
ICD9CM,411.1,Intermediate coronary syndrome
ICD9CM,412,Old myocardial infarction
ICD9CM,413.1,Prinzmetal angina
ICD9CM,413.9,Other and unspecified angina pectoris
ICD9CM,414.01,Coronary atherosclerosis of native coronary artery
ICD9CM,414.02,Coronary atherosclerosis of autologous vein bypass graft
ICD9CM,414.03,Coronary atherosclerosis of nonautologous biological bypass graft
ICD9CM,414.04,Coronary atherosclerosis of artery bypass graft
ICD9CM,414.05,Coronary atherosclerosis of unspecified bypass graft
ICD9CM,414.06,Coronary atherosclerosis of native coronary artery of transplanted heart
ICD9CM,414.07,Coronary atherosclerosis of bypass graft (artery) (vein) of transplanted heart
ICD9CM,414.10,Aneurysm of heart (wall)
ICD9CM,414.11,Aneurysm of coronary vessels
ICD9CM,414.12,Dissection of coronary artery
ICD9CM,414.19,Other aneurysm of heart
