CodeSystem,ConceptCode,ConceptName
ICD10CM,I12,Hypertensive chronic kidney disease
ICD10CM,I12.9,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
ICD10CM,I13,Hypertensive heart and chronic kidney disease
ICD10CM,N03,Chronic nephritic syndrome
ICD10CM,N04,Nephrotic syndrome
ICD10CM,N05,Unspecified nephritic syndrome
ICD10CM,N07,"Hereditary nephropathy, not elsewhere classified"
ICD10CM,N08,Glomerular disorders in diseases classified elsewhere
ICD10CM,N11.1,Chronic obstructive pyelonephritis
ICD10CM,N11.8,Other chronic tubulo-interstitial nephritis
ICD10CM,N11.9,"Chronic tubulo-interstitial nephritis, unspecified"
ICD10CM,N18,Chronic kidney disease (CKD)
ICD10CM,N25.0,Renal osteodystrophy
ICD10CM,N25.1,Nephrogenic diabetes insipidus
ICD10CM,N25.81,Secondary hyperparathyroidism of renal origin
ICD10CM,N25.89,Other disorders resulting from impaired renal tubular function
ICD10CM,N25.9,"Disorder resulting from impaired renal tubular function, unspecified"
ICD10CM,N26.9,"Renal sclerosis, unspecified"
ICD10CM,O26.83,Pregnancy related renal disease
ICD10CM,I12.0,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
ICD10CM,I13.0,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
ICD10CM,I13.1,Hypertensive heart and chronic kidney disease without heart failure
ICD10CM,I13.10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
ICD10CM,I13.11,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease"
ICD10CM,I13.2,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease"
ICD10CM,N03.0,Chronic nephritic syndrome with minor glomerular abnormality
ICD10CM,N03.1,Chronic nephritic syndrome with focal and segmental glomerular lesions
ICD10CM,N03.2,Chronic nephritic syndrome with diffuse membranous glomerulonephritis
ICD10CM,N03.3,Chronic nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
ICD10CM,N03.4,Chronic nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
ICD10CM,N03.5,Chronic nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
ICD10CM,N03.6,Chronic nephritic syndrome with dense deposit disease
