CodeSystem,ConceptCode,ConceptName
ICD10CM,Q21.22,Transitional atrioventricular septal defect
ICD10CM,Q21.20,"Atrioventricular septal defect, unsp as to part or complete"
ICD10CM,Q21.21,Partial atrioventricular septal defect
ICD10CM,Q21.23,Complete atrioventricular septal defect
ICD10CM,Q20,Congenital malformations of cardiac chambers and connections
ICD10CM,Q20.1,Double outlet right ventricle
ICD10CM,Q20.2,Double outlet left ventricle
ICD10CM,Q20.3,Discordant ventriculoarterial connection
ICD10CM,Q20.4,Double inlet ventricle
ICD10CM,Q20.5,Discordant atrioventricular connection
ICD10CM,Q20.6,Isomerism of atrial appendages
ICD10CM,Q20.8,Other congenital malformations of cardiac chambers and connections
ICD10CM,Q20.9,"Congenital malformation of cardiac chambers and connections, unspecified"
ICD10CM,Q21,Congenital malformations of cardiac septa
ICD10CM,Q21.0,Ventricular septal defect
ICD10CM,Q21.1,Atrial septal defect
ICD10CM,Q21.2,Atrioventricular septal defect
ICD10CM,Q21.3,Tetralogy of Fallot
ICD10CM,Q21.4,Aortopulmonary septal defect
ICD10CM,Q21.8,Other congenital malformations of cardiac septa
ICD10CM,Q21.9,"Congenital malformation of cardiac septum, unspecified"
ICD10CM,Q22,Congenital malformations of pulmonary and tricuspid valves
ICD10CM,Q22.1,Congenital pulmonary valve stenosis
ICD10CM,Q22.2,Congenital pulmonary valve insufficiency
ICD10CM,Q22.4,Congenital tricuspid stenosis
ICD10CM,Q22.5,Ebstein's anomaly
ICD10CM,Q22.8,Other congenital malformations of tricuspid valve
ICD10CM,Q22.9,"Congenital malformation of tricuspid valve, unspecified"
ICD10CM,Q23,Congenital malformations of aortic and mitral valves
ICD10CM,Q23.0,Congenital stenosis of aortic valve
ICD10CM,Q23.1,Congenital insufficiency of aortic valve
ICD10CM,Q23.2,Congenital mitral stenosis
ICD10CM,Q23.3,Congenital mitral insufficiency
ICD10CM,Q23.4,Hypoplastic left heart syndrome
ICD10CM,Q23.8,Other congenital malformations of aortic and mitral valves
ICD10CM,Q23.9,"Congenital malformation of aortic and mitral valves, unspecified"
ICD10CM,Q24,Other congenital malformations of heart
ICD10CM,Q24.0,Dextrocardia
ICD10CM,Q24.3,Pulmonary infundibular stenosis
ICD10CM,Q24.4,Congenital subaortic stenosis
ICD10CM,Q24.5,Malformation of coronary vessels
ICD10CM,Q24.6,Congenital heart block
ICD10CM,Q24.8,Other specified congenital malformations of heart
ICD10CM,Q24.9,"Congenital malformation of heart, unspecified"
ICD10CM,Q20.0,Common arterial trunk
ICD10CM,Q22.0,Pulmonary valve atresia
ICD10CM,Q22.3,Other congenital malformations of pulmonary valve
ICD10CM,Q22.6,Hypoplastic right heart syndrome
ICD10CM,Q24.1,Levocardia
ICD10CM,Q24.2,Cor triatriatum
ICD9CM,745,Bulbus cordis anomalies and anomalies of cardiac septal closure
ICD9CM,746,Other congenital anomalies of heart
SNOMED CT,4374004,Congenital anomaly of tricuspid valve
SNOMED CT,7368005,Double outlet left ventricle
SNOMED CT,7484005,Double outlet right ventricle
SNOMED CT,13213009,Congenital heart disease
SNOMED CT,15096009,Congenital insufficiency of pulmonary valve
SNOMED CT,17024001,Aortopulmonary window
SNOMED CT,18546004,Congenital stenosis of aortic valve
SNOMED CT,27637000,Dextrocardia
SNOMED CT,28574005,Congenital anomaly of coronary artery
SNOMED CT,28656008,Congenital insufficiency of aortic valve
SNOMED CT,29928006,Congenital insufficiency of mitral valve
SNOMED CT,30288003,Ventricular septal defect
SNOMED CT,82458004,Congenital stenosis of mitral valve
SNOMED CT,86299006,Fallot's tetralogy
SNOMED CT,204357006,Ebsteins anomaly
SNOMED CT,204296002,Discordant ventriculoarterial connection
SNOMED CT,204370002,Infundibular pulmonic stenosis
SNOMED CT,253277003,Discordant atrioventricular connection
SNOMED CT,253281003,Double inlet ventricle
SNOMED CT,253335001,Isomerism of atrial appendages
SNOMED CT,253414002,Atrioventricular septal defect and common atrioventricular junction
SNOMED CT,46619002,Congenital heart block
SNOMED CT,59494005,Congenital septal defect of heart
SNOMED CT,62067003,Hypoplastic left heart syndrome
SNOMED CT,67278007,Congenital stenosis of pulmonary valve
SNOMED CT,70142008,Atrial septal defect
SNOMED CT,70320004,Congenital anomaly of heart valve
SNOMED CT,73660006,Congenital subaortic stenosis
SNOMED CT,1204130006,Central basal perimembranous ventricular septal defect
SNOMED CT,1230303001,Fatal congenital hypertrophic cardiomyopathy due to glycogen storage disease
SNOMED CT,1229876001,Lethal brain and heart developmental defects syndrome
SNOMED CT,1230344000,"Microphthalmia, microtia, fetal akinesia syndrome"
SNOMED CT,1222710008,"Neurodevelopmental disorder, craniofacial dysmorphism, cardiac defect, skeletal anomalies syndrome"
SNOMED CT,1222708006,"TMEM94-associated congenital heart defect, facial dysmorphism, developmental delay syndrome"
SNOMED CT,1208998007,"TRAF7-associated heart defect, digital anomalies, facial dysmorphism, motor and speech delay syndrome"
SNOMED CT,1162915007,Congenital accessory tissue of tricuspid valve
SNOMED CT,1187212004,"Severe hypotonia, psychomotor developmental delay, strabismus, cardiac septal defect syndrome"
SNOMED CT,1163259003,Non syndromic dextrocardia
SNOMED CT,1187113001,Mucopolysaccharidosis-like plus disease
SNOMED CT,1186709006,FLNA-related X-linked myxomatous valvular dysplasia
SNOMED CT,1131009,Congenital valvular insufficiency
SNOMED CT,2583009,Chiari's network
SNOMED CT,4313003,Acardiacus anceps
SNOMED CT,5230009,Congenital absence of coronary artery
SNOMED CT,6996004,Congenital absence of pulmonary valve
SNOMED CT,8239009,Primary endocardial fibroelastosis
SNOMED CT,8712002,Congenital subaortic stenosis due to fibromuscular shelf
SNOMED CT,10818008,Congenital malposition of heart
SNOMED CT,11433004,Congenital coronary artery fistula
SNOMED CT,12770006,Cyanotic congenital heart disease
SNOMED CT,13453009,Anomalous muscle bands of left ventricle
SNOMED CT,13689005,Congenital anomaly of aortic valve
SNOMED CT,14886009,Abdominal heart
SNOMED CT,15459006,Endocardial cushion defect
SNOMED CT,16567006,Mesocardia
SNOMED CT,17718000,Ostium primum defect
SNOMED CT,19249002,Premature closure of foramen ovale
SNOMED CT,21981000,Single coronary artery
