CodeSystem,ConceptCode,ConceptName
ICD10CM,M30,Polyarteritis nodosa and related conditions
ICD10CM,M31,Other necrotizing vasculopathies
ICD10CM,M32,Systemic lupus erythematosus (SLE)
ICD10CM,M33,Dermatopolymyositis
ICD10CM,M34,Systemic sclerosis [scleroderma]
ICD10CM,M35,Other systemic involvement of connective tissue
ICD10CM,M36,Systemic disorders of connective tissue in diseases classified elsewhere
ICD10CM,M35.06,Sjogren syndrome with peripheral nervous system involvement
ICD10CM,M35.08,Sjogren syndrome with gastrointestinal involvement
ICD10CM,M35.05,Sjogren syndrome with inflammatory arthritis
ICD10CM,M35.07,Sjogren syndrome with central nervous system involvement
ICD10CM,M35.0A,Sjogren syndrome with glomerular disease
ICD10CM,M31.19,Other thrombotic microangiopathy
ICD10CM,M31.10,"Thrombotic microangiopathy, unspecified"
ICD10CM,M35.0B,Sjogren syndrome with vasculitis
ICD10CM,M31.11,Hematpoetc stem cell txpltation-assoc throm microangiopathy
ICD10CM,M35.0C,Sjogren syndrome with dental involvement
ICD10CM,M30.0,Polyarteritis nodosa
ICD10CM,M30.1,Polyarteritis with lung involvement [Churg-Strauss]
ICD10CM,M30.2,Juvenile polyarteritis
ICD10CM,M30.3,Mucocutaneous lymph node syndrome [Kawasaki]
ICD10CM,M30.8,Other conditions related to polyarteritis nodosa
ICD10CM,M31.0,Hypersensitivity angiitis
ICD10CM,M31.1,Thrombotic microangiopathy
ICD10CM,M31.2,Lethal midline granuloma
ICD10CM,M31.3,Wegener's granulomatosis
ICD10CM,M31.30,Wegener's granulomatosis without renal involvement
ICD10CM,M31.31,Wegener's granulomatosis with renal involvement
ICD10CM,M31.4,Aortic arch syndrome [Takayasu]
ICD10CM,M31.5,Giant cell arteritis with polymyalgia rheumatica
ICD10CM,M31.6,Other giant cell arteritis
ICD10CM,M31.7,Microscopic polyangiitis
ICD10CM,M31.8,Other specified necrotizing vasculopathies
ICD10CM,M31.9,"Necrotizing vasculopathy, unspecified"
ICD10CM,M32.0,Drug-induced systemic lupus erythematosus
ICD10CM,M32.1,Systemic lupus erythematosus with organ or system involvement
ICD10CM,M32.10,"Systemic lupus erythematosus, organ or system involvement unspecified"
ICD10CM,M32.11,Endocarditis in systemic lupus erythematosus
ICD10CM,M32.12,Pericarditis in systemic lupus erythematosus
ICD10CM,M32.13,Lung involvement in systemic lupus erythematosus
ICD10CM,M32.14,Glomerular disease in systemic lupus erythematosus
ICD10CM,M32.15,Tubulo-interstitial nephropathy in systemic lupus erythematosus
ICD10CM,M32.19,Other organ or system involvement in systemic lupus erythematosus
ICD10CM,M32.8,Other forms of systemic lupus erythematosus
ICD10CM,M32.9,"Systemic lupus erythematosus, unspecified"
ICD10CM,M33.0,Juvenile dermatomyositis
ICD10CM,M33.00,"Juvenile dermatomyositis, organ involvement unspecified"
ICD10CM,M33.01,Juvenile dermatomyositis with respiratory involvement
ICD10CM,M33.02,Juvenile dermatomyositis with myopathy
ICD10CM,M33.03,Juvenile dermatomyositis without myopathy
ICD10CM,M33.09,Juvenile dermatomyositis with other organ involvement
ICD10CM,M33.1,Other dermatomyositis
ICD10CM,M33.10,"Other dermatomyositis, organ involvement unspecified"
ICD10CM,M33.11,Other dermatomyositis with respiratory involvement
ICD10CM,M33.12,Other dermatomyositis with myopathy
ICD10CM,M33.13,Other dermatomyositis without myopathy
ICD10CM,M33.19,Other dermatomyositis with other organ involvement
ICD10CM,M33.2,Polymyositis
ICD10CM,M33.20,"Polymyositis, organ involvement unspecified"
ICD10CM,M33.21,Polymyositis with respiratory involvement
ICD10CM,M33.22,Polymyositis with myopathy
ICD10CM,M33.29,Polymyositis with other organ involvement
ICD10CM,M33.9,"Dermatopolymyositis, unspecified"
ICD10CM,M33.90,"Dermatopolymyositis, unspecified, organ involvement unspecified"
ICD10CM,M33.91,"Dermatopolymyositis, unspecified with respiratory involvement"
ICD10CM,M33.92,"Dermatopolymyositis, unspecified with myopathy"
ICD10CM,M33.93,"Dermatopolymyositis, unspecified without myopathy"
ICD10CM,M33.99,"Dermatopolymyositis, unspecified with other organ involvement"
ICD10CM,M34.0,Progressive systemic sclerosis
ICD10CM,M34.1,CR(E)ST syndrome
ICD10CM,M34.2,Systemic sclerosis induced by drug and chemical
ICD10CM,M34.8,Other forms of systemic sclerosis
ICD10CM,M34.81,Systemic sclerosis with lung involvement
ICD10CM,M34.82,Systemic sclerosis with myopathy
ICD10CM,M34.83,Systemic sclerosis with polyneuropathy
ICD10CM,M34.89,Other systemic sclerosis
ICD10CM,M34.9,"Systemic sclerosis, unspecified"
ICD10CM,M35.0,Sicca syndrome [Sjogren]
ICD10CM,M35.00,"Sicca syndrome, unspecified"
ICD10CM,M35.01,Sicca syndrome with keratoconjunctivitis
ICD10CM,M35.02,Sicca syndrome with lung involvement
ICD10CM,M35.03,Sicca syndrome with myopathy
ICD10CM,M35.04,Sicca syndrome with tubulo-interstitial nephropathy
ICD10CM,M35.09,Sicca syndrome with other organ involvement
ICD10CM,M35.1,Other overlap syndromes
ICD10CM,M35.2,Behcet's disease
ICD10CM,M35.3,Polymyalgia rheumatica
ICD10CM,M35.4,Diffuse (eosinophilic) fasciitis
ICD10CM,M35.5,Multifocal fibrosclerosis
ICD10CM,M35.6,Relapsing panniculitis [Weber-Christian]
ICD10CM,M35.7,Hypermobility syndrome
ICD10CM,M35.8,Other specified systemic involvement of connective tissue
ICD10CM,M35.9,"Systemic involvement of connective tissue, unspecified"
ICD10CM,M36.0,Dermato(poly)myositis in neoplastic disease
ICD10CM,M36.1,Arthropathy in neoplastic disease
ICD10CM,M36.2,Hemophilic arthropathy
ICD10CM,M36.3,Arthropathy in other blood disorders
ICD10CM,M36.4,Arthropathy in hypersensitivity reactions classified elsewhere
ICD10CM,M36.8,Systemic disorders of connective tissue in other diseases classified elsewhere
ICD10CM,M35.81,Multisystem inflammatory syndrome (MIS)
ICD10CM,M35.89,Other specified systemic involvement of connective tissue
SNOMED CT,11791001,Necrotizing vasculitis
SNOMED CT,81573002,Collagen disease
SNOMED CT,89155008,Systemic sclerosis
SNOMED CT,105969002,Disorder of connective tissue
SNOMED CT,155441006,Polyarteritis nodosa
SNOMED CT,55464009,Systemic lupus erythematosus
SNOMED CT,396230008,Dermatomyositis
SNOMED CT,1162336001,Anti-citrullinated protein antibody positive erosive rheumatoid arthritis
SNOMED CT,1162292003,Mycobacterial discitis
SNOMED CT,1163001000,Omental hemorrhage
SNOMED CT,11818331000119102,Sprain of ligament of metacarpophalangeal joint of left thumb
SNOMED CT,1163088008,Acute infectious generalized peritonitis
SNOMED CT,1163087003,Acute infectious peritonitis
SNOMED CT,1177028005,Bacterial panuveitis
SNOMED CT,11818291000119108,Sprain of ligament of metacarpophalangeal joint of right thumb
SNOMED CT,11818851000119104,Sprain of ligament of right hand
SNOMED CT,11817691000119106,Sprain of ligament of right index finger
SNOMED CT,11817731000119104,Sprain of ligament of right little finger
SNOMED CT,11817771000119101,Sprain of ligament of right middle finger
SNOMED CT,11817811000119101,Sprain of ligament of right ring finger
SNOMED CT,11819171000119108,Sprain of ligament of right shoulder joint
SNOMED CT,11817261000119102,Sprain of ligament of right sternoclavicular joint
SNOMED CT,11860221000119107,Sprain of medial collateral ligament of left knee joint
SNOMED CT,11857901000119102,Right patellar tendon rupture
SNOMED CT,11857741000119103,Right peroneal tendon rupture
