CodeSystem,ConceptCode,ConceptName
ICD10CM,K00,Disorders of tooth development and eruption
ICD10CM,K01,Embedded and impacted teeth
ICD10CM,K02,Dental caries
ICD10CM,K03,Other diseases of hard tissues of teeth
ICD10CM,K04,Diseases of pulp and periapical tissues
ICD10CM,K05,Gingivitis and periodontal diseases
ICD10CM,K06,Other disorders of gingiva and edentulous alveolar ridge
ICD10CM,K08,Other disorders of teeth and supporting structures
ICD10CM,K09,"Cysts of oral region, not elsewhere classified"
ICD10CM,K11,Diseases of salivary glands
ICD10CM,K12,Stomatitis and related lesions
ICD10CM,K13,Other diseases of lip and oral mucosa
ICD10CM,K14,Diseases of tongue
ICD10CM,K20,Esophagitis
ICD10CM,K21,Gastro-esophageal reflux disease
ICD10CM,K22,Other diseases of esophagus
ICD10CM,K23,Disorders of esophagus in diseases classified elsewhere
ICD10CM,K25,Gastric ulcer
ICD10CM,K26,Duodenal ulcer
ICD10CM,K27,"Peptic ulcer, site unspecified"
ICD10CM,K28,Gastrojejunal ulcer
ICD10CM,K29,Gastritis and duodenitis
ICD10CM,K30,Functional dyspepsia
ICD10CM,K31,Other diseases of stomach and duodenum
ICD10CM,K35,Acute appendicitis
ICD10CM,K36,Other appendicitis
ICD10CM,K37,Unspecified appendicitis
ICD10CM,K38,Other diseases of appendix
ICD10CM,K40,Inguinal hernia
ICD10CM,K41,Femoral hernia
ICD10CM,K42,Umbilical hernia
ICD10CM,K43,Ventral hernia
ICD10CM,K44,Diaphragmatic hernia
ICD10CM,K45,Other abdominal hernia
ICD10CM,K46,Unspecified abdominal hernia
ICD10CM,K50,Crohn's disease [regional enteritis]
ICD10CM,K51,Ulcerative colitis
ICD10CM,K52,Other and unspecified noninfective gastroenteritis and colitis
ICD10CM,K55,Vascular disorders of intestine
ICD10CM,K56,Paralytic ileus and intestinal obstruction without hernia
ICD10CM,K57,Diverticular disease of intestine
ICD10CM,K58,Irritable bowel syndrome
ICD10CM,K59,Other functional intestinal disorders
ICD10CM,K60,Fissure and fistula of anal and rectal regions
ICD10CM,K61,Abscess of anal and rectal regions
ICD10CM,K62,Other diseases of anus and rectum
ICD10CM,K63,Other diseases of intestine
ICD10CM,K64,Hemorrhoids and perianal venous thrombosis
ICD10CM,K65,Peritonitis
ICD10CM,K66,Other disorders of peritoneum
ICD10CM,K67,Disorders of peritoneum in infectious diseases classified elsewhere
ICD10CM,K68,Disorders of retroperitoneum
ICD10CM,K70,Alcoholic liver disease
ICD10CM,K71,Toxic liver disease
ICD10CM,K72,"Hepatic failure, not elsewhere classified"
ICD10CM,K73,"Chronic hepatitis, not elsewhere classified"
ICD10CM,K74,Fibrosis and cirrhosis of liver
ICD10CM,K75,Other inflammatory liver diseases
ICD10CM,K76,Other diseases of liver
ICD10CM,K77,Liver disorders in diseases classified elsewhere
ICD10CM,K80,Cholelithiasis
ICD10CM,K81,Cholecystitis
ICD10CM,K82,Other diseases of gallbladder
ICD10CM,K83,Other diseases of biliary tract
ICD10CM,K85,Acute pancreatitis
ICD10CM,K86,Other diseases of pancreas
ICD10CM,K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
ICD10CM,K90,Intestinal malabsorption
ICD10CM,K91,"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified"
ICD10CM,K92,Other diseases of digestive system
ICD10CM,K94,Complications of artificial openings of the digestive system
ICD10CM,K95,Complications of bariatric procedures
ICD10CM,O26.6,"Liver and biliary tract disorders in pregnancy, childbirth and the puerperium"
ICD10CM,O99.6,"Diseases of the digestive system complicating pregnancy, childbirth and the puerperium"
ICD10CM,K31.A0,"Gastric intestinal metaplasia, unspecified"
ICD10CM,K31.A22,Gastric intestinal metaplasia with high grade dysplasia
ICD10CM,K31.A2,Gastric intestinal metaplasia with dysplasia
ICD10CM,K22.89,Other specified disease of esophagus
ICD10CM,K31.A,Gastric intestinal metaplasia
ICD10CM,K31.A1,Gastric intestinal metaplasia without dysplasia
ICD10CM,K31.A19,"Gastric intestinal metaplasia without dysplasia, unsp site"
ICD10CM,K31.A21,Gastric intestinal metaplasia with low grade dysplasia
