CodeSystem,ConceptCode,ConceptName
SNOMED CT,86765009,Mild mental retardation (Intelligence Quotient 50-70)
SNOMED CT,110359009,Intellectual disability
SNOMED CT,82371000119101,Dementia due to multiple sclerosis with altered behavior
SNOMED CT,698626001,Dementia associated with multiple sclerosis
SNOMED CT,1187042007,"Early-onset seizures, distal limb anomalies, facial dysmorphism, global developmental delay syndrome"
SNOMED CT,1172594000,"Congenital labioscrotal agenesis, cerebellar malformation, corneal dystrophy, facial dysmorphism syndrome"
SNOMED CT,1186734006,Autosomal recessive complex spastic paraplegia due to Kennedy pathway dysfunction
SNOMED CT,1173036000,Combined oxidative phosphorylation defect type 23
SNOMED CT,1179408008,"CHD3-related developmental delay, speech delay, intellectual disability, abnormalities of vision, facial dysmorphism syndrome"
SNOMED CT,1187644009,Basel Vanagaite Smirin Yosef syndrome
SNOMED CT,1169355000,"Brain malformations, musculoskeletal abnormalities, facial dysmorphism, intellectual disability syndrome"
SNOMED CT,1187249005,VPS11-related autosomal recessive hypomyelinating leukodystrophy
SNOMED CT,1208936008,"Congenital ichthyosis, intellectual disability, spastic quadriplegia syndrome"
SNOMED CT,1217229007,"Craniofacial dysplasia, short stature, ectodermal anomalies, intellectual disability syndrome"
SNOMED CT,1222658006,"Global developmental delay, alopecia, macrocephaly, facial dysmorphism, structural brain anomalies syndrome"
SNOMED CT,1217371005,"Infantile hypotonia, oculomotor anomalies, hyperkinetic movements, developmental delay syndrome"
SNOMED CT,1217382002,"Intellectual disability, autism, speech apraxia, craniofacial dysmorphism syndrome"
SNOMED CT,1197593006,"Intellectual disability, expressive aphasia, facial dysmorphism syndrome"
SNOMED CT,1208746001,"Intellectual disability, muscle weakness, short stature, facial dysmorphism syndrome"
SNOMED CT,1220589007,Keppen Lubinsky syndrome
SNOMED CT,1230273004,Megaconial congenital muscular dystrophy
SNOMED CT,1217381009,"Neurodevelopmental delay, seizures, ophthalmic anomalies, osteopenia, cerebellar atrophy syndrome"
SNOMED CT,1222710008,"Neurodevelopmental disorder, craniofacial dysmorphism, cardiac defect, skeletal anomalies syndrome"
SNOMED CT,1217379007,NKX6-2-related autosomal recessive hypomyelinating leukodystrophy
SNOMED CT,1208987006,"PHIP-related behavioral problems, intellectual disability, obesity, dysmorphic features syndrome"
SNOMED CT,1220594007,Pierpont syndrome
SNOMED CT,1208481000,Progressive cerebello-cerebral atrophy
SNOMED CT,1222657001,PRUNE1-related neurological syndrome
SNOMED CT,1220568003,"QRICH1-related intellectual disability, chondrodysplasia syndrome"
SNOMED CT,1220597000,"Retinitis pigmentosa, juvenile cataract, short stature, intellectual disability syndrome"
SNOMED CT,1197148005,Sanjad Sakati syndrome
SNOMED CT,1208488006,SATB2-associated syndrome
