CodeSystem,ConceptCode,ConceptName
ICD10CM,F20,Schizophrenia
ICD10CM,F21,Schizotypal disorder
ICD10CM,F22,Delusional disorders
ICD10CM,F23,Brief psychotic disorder
ICD10CM,F24,Shared psychotic disorder
ICD10CM,F25,Schizoaffective disorders
ICD10CM,F28,Other psychotic disorder not due to a substance or known physiological condition
ICD10CM,F29,Unspecified psychosis not due to a substance or known physiological condition
ICD10CM,F30,Manic episode
ICD10CM,F31,Bipolar disorder
ICD10CM,F32,"Major depressive disorder, single episode"
ICD10CM,F33,"Major depressive disorder, recurrent"
ICD10CM,F34,Persistent mood [affective] disorders
ICD10CM,F39,Unspecified mood [affective] disorder
ICD10CM,O99.34,"Other mental disorders complicating pregnancy, childbirth, and the puerperium"
ICD10CM,F32.A,"Depression, unspecified"
ICD10CM,F20.0,Paranoid schizophrenia
ICD10CM,F20.1,Disorganized schizophrenia
ICD10CM,F20.2,Catatonic schizophrenia
ICD10CM,F20.3,Undifferentiated schizophrenia
ICD10CM,F20.5,Residual schizophrenia
ICD10CM,F20.8,Other schizophrenia
ICD10CM,F20.81,Schizophreniform disorder
ICD10CM,F20.89,Other schizophrenia
ICD10CM,F20.9,"Schizophrenia, unspecified"
ICD10CM,F25.0,"Schizoaffective disorder, bipolar type"
ICD10CM,F25.1,"Schizoaffective disorder, depressive type"
ICD10CM,F25.8,Other schizoaffective disorders
ICD10CM,F25.9,"Schizoaffective disorder, unspecified"
ICD10CM,F30.1,Manic episode without psychotic symptoms
ICD10CM,F30.10,"Manic episode without psychotic symptoms, unspecified"
ICD10CM,F30.11,"Manic episode without psychotic symptoms, mild"
ICD10CM,F30.12,"Manic episode without psychotic symptoms, moderate"
ICD10CM,F30.13,"Manic episode, severe, without psychotic symptoms"
ICD10CM,F30.2,"Manic episode, severe with psychotic symptoms"
ICD10CM,F30.3,Manic episode in partial remission
ICD10CM,F30.4,Manic episode in full remission
ICD10CM,F30.8,Other manic episodes
ICD10CM,F30.9,"Manic episode, unspecified"
ICD10CM,F31.0,"Bipolar disorder, current episode hypomanic"
ICD10CM,F31.1,"Bipolar disorder, current episode manic without psychotic features"
ICD10CM,F31.10,"Bipolar disorder, current episode manic without psychotic features, unspecified"
ICD10CM,F31.11,"Bipolar disorder, current episode manic without psychotic features, mild"
ICD10CM,F31.12,"Bipolar disorder, current episode manic without psychotic features, moderate"
ICD10CM,F31.13,"Bipolar disorder, current episode manic without psychotic features, severe"
ICD10CM,F31.2,"Bipolar disorder, current episode manic severe with psychotic features"
ICD10CM,F31.3,"Bipolar disorder, current episode depressed, mild or moderate severity"
ICD10CM,F31.30,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified"
ICD10CM,F31.31,"Bipolar disorder, current episode depressed, mild"
ICD10CM,F31.32,"Bipolar disorder, current episode depressed, moderate"
ICD10CM,F31.4,"Bipolar disorder, current episode depressed, severe, without psychotic features"
ICD10CM,F31.5,"Bipolar disorder, current episode depressed, severe, with psychotic features"
ICD10CM,F31.6,"Bipolar disorder, current episode mixed"
ICD10CM,F31.60,"Bipolar disorder, current episode mixed, unspecified"
ICD10CM,F31.61,"Bipolar disorder, current episode mixed, mild"
ICD10CM,F31.62,"Bipolar disorder, current episode mixed, moderate"
ICD10CM,F31.63,"Bipolar disorder, current episode mixed, severe, without psychotic features"
ICD10CM,F31.64,"Bipolar disorder, current episode mixed, severe, with psychotic features"
ICD10CM,F31.7,"Bipolar disorder, currently in remission"
ICD10CM,F31.70,"Bipolar disorder, currently in remission, most recent episode unspecified"
ICD10CM,F31.71,"Bipolar disorder, in partial remission, most recent episode hypomanic"
