CodeSystem,ConceptCode,ConceptName
ICD9CM,651,Multiple gestation
ICD9CM,V27.2,"Outcome of delivery, twins, both liveborn"
ICD9CM,V27.3,"Outcome of delivery, twins, one liveborn and one stillborn"
ICD9CM,V27.4,"Outcome of delivery, twins, both stillborn"
ICD9CM,V27.5,"Outcome of delivery, other multiple birth, all liveborn"
ICD9CM,V27.6,"Outcome of delivery, other multiple birth, some liveborn"
ICD9CM,V27.7,"Outcome of delivery, other multiple birth, all stillborn"
ICD9CM,V91,Multiple gestation placenta status
ICD10CM,O30,Multiple gestation
ICD10CM,O31,Complications specific to multiple gestation
ICD10CM,Z37.2,"Twins, both liveborn"
ICD10CM,Z37.3,"Twins, one liveborn and one stillborn"
ICD10CM,Z37.4,"Twins, both stillborn"
ICD10CM,Z37.5,"Other multiple births, all liveborn"
ICD10CM,Z37.6,"Other multiple births, some liveborn"
ICD10CM,Z37.7,"Other multiple births, all stillborn"
ICD10CM,O30.0,Twin pregnancy
ICD10CM,O30.00,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs"
ICD10CM,O30.001,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
ICD10CM,O30.002,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
ICD10CM,O30.003,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
ICD10CM,O30.009,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
ICD10CM,O30.01,"Twin pregnancy, monochorionic/monoamniotic"
ICD10CM,O30.011,"Twin pregnancy, monochorionic/monoamniotic, first trimester"
ICD10CM,O30.012,"Twin pregnancy, monochorionic/monoamniotic, second trimester"
ICD10CM,O30.013,"Twin pregnancy, monochorionic/monoamniotic, third trimester"
ICD10CM,O30.019,"Twin pregnancy, monochorionic/monoamniotic, unspecified trimester"
ICD10CM,O30.02,Conjoined twin pregnancy
ICD10CM,O30.021,"Conjoined twin pregnancy, first trimester"
ICD10CM,O30.022,"Conjoined twin pregnancy, second trimester"
ICD10CM,O30.023,"Conjoined twin pregnancy, third trimester"
ICD10CM,O30.029,"Conjoined twin pregnancy, unspecified trimester"
ICD10CM,O30.03,"Twin pregnancy, monochorionic/diamniotic"
ICD10CM,O30.031,"Twin pregnancy, monochorionic/diamniotic, first trimester"
ICD10CM,O30.032,"Twin pregnancy, monochorionic/diamniotic, second trimester"
ICD10CM,O30.033,"Twin pregnancy, monochorionic/diamniotic, third trimester"
ICD10CM,O30.039,"Twin pregnancy, monochorionic/diamniotic, unspecified trimester"
ICD10CM,O30.04,"Twin pregnancy, dichorionic/diamniotic"
ICD10CM,O30.041,"Twin pregnancy, dichorionic/diamniotic, first trimester"
ICD10CM,O30.042,"Twin pregnancy, dichorionic/diamniotic, second trimester"
ICD10CM,O30.043,"Twin pregnancy, dichorionic/diamniotic, third trimester"
ICD10CM,O30.049,"Twin pregnancy, dichorionic/diamniotic, unspecified trimester"
ICD10CM,O30.09,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs"
ICD10CM,O30.091,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester"
ICD10CM,O30.092,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester"
ICD10CM,O30.093,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester"
ICD10CM,O30.131,"Triplet pregnancy, trichorionic/triamniotic, first trimester"
ICD10CM,O30.099,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
ICD10CM,O30.1,Triplet pregnancy
ICD10CM,O30.10,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs"
ICD10CM,O30.101,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
ICD10CM,O30.102,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
ICD10CM,O30.103,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
ICD10CM,O30.109,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
ICD10CM,O30.11,Triplet pregnancy with two or more monochorionic fetuses
ICD10CM,O30.111,"Triplet pregnancy with two or more monochorionic fetuses, first trimester"
ICD10CM,O30.112,"Triplet pregnancy with two or more monochorionic fetuses, second trimester"
ICD10CM,O30.113,"Triplet pregnancy with two or more monochorionic fetuses, third trimester"
ICD10CM,O30.119,"Triplet pregnancy with two or more monochorionic fetuses, unspecified trimester"
ICD10CM,O30.12,Triplet pregnancy with two or more monoamniotic fetuses
ICD10CM,O30.121,"Triplet pregnancy with two or more monoamniotic fetuses, first trimester"
ICD10CM,O30.122,"Triplet pregnancy with two or more monoamniotic fetuses, second trimester"
ICD10CM,O30.123,"Triplet pregnancy with two or more monoamniotic fetuses, third trimester"
ICD10CM,O30.129,"Triplet pregnancy with two or more monoamniotic fetuses, unspecified trimester"
ICD10CM,O30.13,"Triplet pregnancy, trichorionic/triamniotic"
ICD10CM,O30.132,"Triplet pregnancy, trichorionic/triamniotic, second trimester"
ICD10CM,O30.133,"Triplet pregnancy, trichorionic/triamniotic, third trimester"
ICD10CM,O30.139,"Triplet pregnancy, trichorionic/triamniotic, unspecified trimester"
ICD10CM,O30.19,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs"
ICD10CM,O30.191,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester"
ICD10CM,O30.192,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester"
ICD10CM,O30.193,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester"
ICD10CM,O30.199,"Triplet pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
ICD10CM,O30.2,Quadruplet pregnancy
ICD10CM,O30.20,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs"
ICD10CM,O30.201,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
ICD10CM,O30.202,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
ICD10CM,O30.203,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
ICD10CM,O30.209,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
ICD10CM,O30.21,Quadruplet pregnancy with two or more monochorionic fetuses
ICD10CM,O30.211,"Quadruplet pregnancy with two or more monochorionic fetuses, first trimester"
ICD10CM,O30.212,"Quadruplet pregnancy with two or more monochorionic fetuses, second trimester"
ICD10CM,O30.213,"Quadruplet pregnancy with two or more monochorionic fetuses, third trimester"
ICD10CM,O30.219,"Quadruplet pregnancy with two or more monochorionic fetuses, unspecified trimester"
ICD10CM,O30.22,Quadruplet pregnancy with two or more monoamniotic fetuses
ICD10CM,O30.221,"Quadruplet pregnancy with two or more monoamniotic fetuses, first trimester"
ICD10CM,O30.222,"Quadruplet pregnancy with two or more monoamniotic fetuses, second trimester"
ICD10CM,O30.223,"Quadruplet pregnancy with two or more monoamniotic fetuses, third trimester"
ICD10CM,O30.229,"Quadruplet pregnancy with two or more monoamniotic fetuses, unspecified trimester"
ICD10CM,O30.23,"Quadruplet pregnancy, quadrachorionic/quadra-amniotic"
ICD10CM,O30.231,"Quadruplet pregnancy, quadrachorionic/quadra-amniotic, first trimester"
ICD10CM,O30.232,"Quadruplet pregnancy, quadrachorionic/quadra-amniotic, second trimester"
ICD10CM,O30.233,"Quadruplet pregnancy, quadrachorionic/quadra-amniotic, third trimester"
ICD10CM,O30.239,"Quadruplet pregnancy, quadrachorionic/quadra-amniotic, unspecified trimester"
ICD10CM,O30.29,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs"
ICD10CM,O30.291,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester"
ICD10CM,O30.292,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, second trimester"
ICD10CM,O30.293,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, third trimester"
ICD10CM,O30.299,"Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
ICD10CM,O30.8,Other specified multiple gestation
ICD10CM,O30.80,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs"
ICD10CM,O30.801,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
ICD10CM,O30.802,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
ICD10CM,O30.803,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
ICD10CM,O30.809,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
ICD10CM,O30.81,Other specified multiple gestation with two or more monochorionic fetuses
ICD10CM,O30.811,"Other specified multiple gestation with two or more monochorionic fetuses, first trimester"
ICD10CM,O30.812,"Other specified multiple gestation with two or more monochorionic fetuses, second trimester"
ICD10CM,O30.813,"Other specified multiple gestation with two or more monochorionic fetuses, third trimester"
ICD10CM,O30.819,"Other specified multiple gestation with two or more monochorionic fetuses, unspecified trimester"
ICD10CM,O30.82,Other specified multiple gestation with two or more monoamniotic fetuses
ICD10CM,O30.821,"Other specified multiple gestation with two or more monoamniotic fetuses, first trimester"
ICD10CM,O30.822,"Other specified multiple gestation with two or more monoamniotic fetuses, second trimester"
ICD10CM,O30.823,"Other specified multiple gestation with two or more monoamniotic fetuses, third trimester"
ICD10CM,O30.829,"Other specified multiple gestation with two or more monoamniotic fetuses, unspecified trimester"
ICD10CM,O30.83,"Other specified multiple gestation, number of chorions and amnions are both equal to the number of fetuses"
ICD10CM,O30.831,"Other specified multiple gestation, number of chorions and amnions are both equal to the number of fetuses, first trimester"
ICD10CM,O30.832,"Other specified multiple gestation, number of chorions and amnions are both equal to the number of fetuses, second trimester"
ICD10CM,O30.833,"Other specified multiple gestation, number of chorions and amnions are both equal to the number of fetuses, third trimester"
ICD10CM,O30.839,"Other specified multiple gestation, number of chorions and amnions are both equal to the number of fetuses, unspecified trimester"
ICD10CM,O30.89,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs"
ICD10CM,O30.891,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, first trimester"
ICD10CM,O30.892,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, second trimester"
ICD10CM,O30.893,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, third trimester"
ICD10CM,O30.899,"Other specified multiple gestation, unable to determine number of placenta and number of amniotic sacs, unspecified trimester"
ICD10CM,O30.9,"Multiple gestation, unspecified"
ICD10CM,O30.90,"Multiple gestation, unspecified, unspecified trimester"
ICD10CM,O30.91,"Multiple gestation, unspecified, first trimester"
ICD10CM,O30.92,"Multiple gestation, unspecified, second trimester"
ICD10CM,O30.93,"Multiple gestation, unspecified, third trimester"
