CodeSystem,ConceptCode,ConceptName
ICD10CM,G40,Epilepsy and recurrent seizures
ICD10CM,G70,Myasthenia gravis and other myoneural disorders
ICD10CM,O99.35,"Diseases of the nervous system complicating pregnancy, childbirth, and the puerperium"
ICD10CM,G40.0,Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset
ICD10CM,G40.00,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable"
ICD10CM,G40.001,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus"
ICD10CM,G40.009,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, without status epilepticus"
ICD10CM,G40.01,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable"
ICD10CM,G40.011,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, with status epilepticus"
ICD10CM,G40.019,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, without status epilepticus"
ICD10CM,G40.1,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
ICD10CM,G40.10,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable"
ICD10CM,G40.101,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, with status epilepticus"
ICD10CM,G40.109,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus"
ICD10CM,G40.11,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable"
ICD10CM,G40.111,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, with status epilepticus"
ICD10CM,G40.119,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, without status epilepticus"
ICD10CM,G40.2,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures
ICD10CM,G40.20,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable"
ICD10CM,G40.201,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus"
ICD10CM,G40.209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus"
ICD10CM,G40.21,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable"
ICD10CM,G40.50,"Epileptic seizures related to external causes, not intractable"
ICD10CM,G40.211,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus"
ICD10CM,G40.219,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus"
ICD10CM,G40.3,Generalized idiopathic epilepsy and epileptic syndromes
ICD10CM,G40.30,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable"
ICD10CM,G40.301,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus"
ICD10CM,G40.309,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus"
ICD10CM,G40.31,"Generalized idiopathic epilepsy and epileptic syndromes, intractable"
ICD10CM,G40.311,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus"
ICD10CM,G40.319,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus"
ICD10CM,G40.4,Other generalized epilepsy and epileptic syndromes
ICD10CM,G40.40,"Other generalized epilepsy and epileptic syndromes, not intractable"
