CodeSystem,ConceptCode,ConceptName
ICD9CM,340,Multiple sclerosis
ICD10CM,G35,Multiple sclerosis
SNOMED CT,1186728004,Pediatric multiple sclerosis
SNOMED CT,16092000,Cord multiple sclerosis
SNOMED CT,18353007,Brain stem multiple sclerosis
SNOMED CT,24700007,Multiple sclerosis
SNOMED CT,816984002,Progressive multiple sclerosis
SNOMED CT,724778008,Progressive relapsing multiple sclerosis
SNOMED CT,766246000,Marburg acute multiple sclerosis
SNOMED CT,155023009,Multiple sclerosis
SNOMED CT,192926004,Multiple sclerosis of the brainstem
SNOMED CT,192927008,Multiple sclerosis of the spinal cord
SNOMED CT,192928003,Generalized multiple sclerosis
SNOMED CT,192930001,Multiple sclerosis NOS
SNOMED CT,230372003,Acute relapsing multiple sclerosis
SNOMED CT,230373008,Chronic progressive multiple sclerosis
SNOMED CT,230374002,Remittent-progressive multiple sclerosis
SNOMED CT,425500002,Secondary progressive multiple sclerosis
SNOMED CT,426373005,Relapsing remitting multiple sclerosis
SNOMED CT,428700003,Primary progressive multiple sclerosis
SNOMED CT,438511000,Benign multiple sclerosis
SNOMED CT,439567002,Malignant multiple sclerosis
SNOMED CT,733028000,"Multiple sclerosis, ichthyosis, factor VIII deficiency syndrome"
SNOMED CT,192929006,Exacerbation of multiple sclerosis
ICD9CM,343,Infantile cerebral palsy
ICD10CM,G80,Cerebral palsy
ICD10CM,G80.0,Spastic quadriplegic cerebral palsy
ICD10CM,G80.1,Spastic diplegic cerebral palsy
ICD10CM,G80.2,Spastic hemiplegic cerebral palsy
ICD10CM,G80.3,Athetoid cerebral palsy
ICD10CM,G80.4,Ataxic cerebral palsy
ICD10CM,G80.8,Other cerebral palsy
ICD10CM,G80.9,"Cerebral palsy, unspecified"
SNOMED CT,1178005,Infantile spastic cerebral palsy
SNOMED CT,128188000,Cerebral palsy
SNOMED CT,43486001,Unilateral spastic cerebral palsy
SNOMED CT,702314005,Non-spastic cerebral palsy
SNOMED CT,702315006,Dystonic cerebral palsy
SNOMED CT,702316007,Choreic cerebral palsy
SNOMED CT,702317003,Chorea-athetoid cerebral palsy
SNOMED CT,702318008,Mixed cerebral palsy
SNOMED CT,702319000,Bilateral cerebral palsy
SNOMED CT,702320006,Triplegic cerebral palsy
SNOMED CT,702321005,Pentaplegic cerebral palsy
SNOMED CT,192947000,Congenital cerebral palsy (& spastic)
SNOMED CT,192950002,Cerebral palsy with spastic diplegia
SNOMED CT,192958009,Hypotonic cerebral palsy
SNOMED CT,192961005,Other infantile cerebral palsy NOS
SNOMED CT,194546004,[X]Other infantile cerebral palsy
SNOMED CT,307756005,"Cerebral palsy, not congenital or infantile, acute"
SNOMED CT,371079004,Paraplegic cerebral palsy
SNOMED CT,230772000,Infantile cerebral palsy
SNOMED CT,230773005,Spastic cerebral palsy
SNOMED CT,230776002,Cerebral palsy with spastic/ataxic diplegia
SNOMED CT,230777006,Monoplegic cerebral palsy affecting upper limb
SNOMED CT,230778001,Monoplegic cerebral palsy affecting lower limb
SNOMED CT,230780007,Dyskinetic cerebral palsy
SNOMED CT,230781006,Dystonic/rigid cerebral palsy
SNOMED CT,48721008,Tetraplegic cerebral palsy
SNOMED CT,56409008,Monoplegic cerebral palsy
SNOMED CT,58193001,Diplegic cerebral palsy
SNOMED CT,75019001,Athetoid cerebral palsy
SNOMED CT,270488006,Cerebral palsy
SNOMED CT,275466008,Congenital cerebral palsy
SNOMED CT,275467004,Congenital spastic cerebral palsy
SNOMED CT,278512001,Ataxic cerebral palsy
SNOMED CT,16171003,Double athetosis
SNOMED CT,329741000119109,Neuromuscular scoliosis of lumbar spine co-occurrent and due to cerebral palsy
SNOMED CT,330521000119103,Neuromuscular scoliosis of thoracolumbar spine co-occurrent and due to cerebral palsy
SNOMED CT,716335003,Worster Drought syndrome
SNOMED CT,783005002,"Severe microbrachycephaly, intellectual disability, athetoid cerebral palsy syndrome"
SNOMED CT,44395000,Spastic tetraplegia with rigidity syndrome
SNOMED CT,275468009,Congenital quadriplegia
ICD9CM,714,Rheumatoid arthritis and other inflammatory polyarthropathies
ICD9CM,725,Polymyalgia rheumatica
ICD10CM,M05,Rheumatoid arthritis with rheumatoid factor
ICD10CM,M06,Other rheumatoid arthritis
ICD10CM,M08.0,Unspecified juvenile rheumatoid arthritis
ICD10CM,M08.2,Juvenile rheumatoid arthritis with systemic onset
ICD10CM,M08.3,Juvenile rheumatoid polyarthritis (seronegative)
ICD10CM,M08.4,Pauciarticular juvenile rheumatoid arthritis
ICD10CM,M05.0,Felty's syndrome
ICD10CM,M05.00,"Felty's syndrome, unspecified site"
ICD10CM,M05.01,"Felty's syndrome, shoulder"
ICD10CM,M05.011,"Felty's syndrome, right shoulder"
ICD10CM,M05.012,"Felty's syndrome, left shoulder"
ICD10CM,M05.019,"Felty's syndrome, unspecified shoulder"
ICD10CM,M05.02,"Felty's syndrome, elbow"
ICD10CM,M05.021,"Felty's syndrome, right elbow"
ICD10CM,M05.022,"Felty's syndrome, left elbow"
ICD10CM,M05.029,"Felty's syndrome, unspecified elbow"
ICD10CM,M05.03,"Felty's syndrome, wrist"
ICD10CM,M05.031,"Felty's syndrome, right wrist"
ICD10CM,M05.032,"Felty's syndrome, left wrist"
ICD10CM,M05.039,"Felty's syndrome, unspecified wrist"
ICD10CM,M05.04,"Felty's syndrome, hand"
ICD10CM,M05.041,"Felty's syndrome, right hand"
ICD10CM,M05.042,"Felty's syndrome, left hand"
ICD10CM,M05.049,"Felty's syndrome, unspecified hand"
ICD10CM,M05.05,"Felty's syndrome, hip"
ICD10CM,M05.051,"Felty's syndrome, right hip"
ICD10CM,M05.052,"Felty's syndrome, left hip"
ICD10CM,M05.059,"Felty's syndrome, unspecified hip"
ICD10CM,M05.06,"Felty's syndrome, knee"
ICD10CM,M05.061,"Felty's syndrome, right knee"
ICD10CM,M05.062,"Felty's syndrome, left knee"
ICD10CM,M05.069,"Felty's syndrome, unspecified knee"
ICD10CM,M05.07,"Felty's syndrome, ankle and foot"
ICD10CM,M05.071,"Felty's syndrome, right ankle and foot"
ICD10CM,M05.072,"Felty's syndrome, left ankle and foot"
ICD10CM,M05.079,"Felty's syndrome, unspecified ankle and foot"
ICD10CM,M05.09,"Felty's syndrome, multiple sites"
ICD10CM,M05.1,Rheumatoid lung disease with rheumatoid arthritis
ICD10CM,M05.10,Rheumatoid lung disease with rheumatoid arthritis of unspecified site
ICD10CM,M05.11,Rheumatoid lung disease with rheumatoid arthritis of shoulder
ICD10CM,M05.111,Rheumatoid lung disease with rheumatoid arthritis of right shoulder
ICD10CM,M05.112,Rheumatoid lung disease with rheumatoid arthritis of left shoulder
ICD10CM,M05.119,Rheumatoid lung disease with rheumatoid arthritis of unspecified shoulder
ICD10CM,M05.12,Rheumatoid lung disease with rheumatoid arthritis of elbow
ICD10CM,M05.121,Rheumatoid lung disease with rheumatoid arthritis of right elbow
ICD10CM,M05.122,Rheumatoid lung disease with rheumatoid arthritis of left elbow
ICD10CM,M05.129,Rheumatoid lung disease with rheumatoid arthritis of unspecified elbow
ICD10CM,M05.13,Rheumatoid lung disease with rheumatoid arthritis of wrist
ICD10CM,M05.131,Rheumatoid lung disease with rheumatoid arthritis of right wrist
ICD10CM,M05.132,Rheumatoid lung disease with rheumatoid arthritis of left wrist
ICD10CM,M05.139,Rheumatoid lung disease with rheumatoid arthritis of unspecified wrist
ICD10CM,M05.14,Rheumatoid lung disease with rheumatoid arthritis of hand
ICD10CM,M05.141,Rheumatoid lung disease with rheumatoid arthritis of right hand
ICD10CM,M05.142,Rheumatoid lung disease with rheumatoid arthritis of left hand
ICD10CM,M05.149,Rheumatoid lung disease with rheumatoid arthritis of unspecified hand
ICD10CM,M05.15,Rheumatoid lung disease with rheumatoid arthritis of hip
ICD10CM,M05.151,Rheumatoid lung disease with rheumatoid arthritis of right hip
ICD10CM,M05.152,Rheumatoid lung disease with rheumatoid arthritis of left hip
ICD10CM,M05.159,Rheumatoid lung disease with rheumatoid arthritis of unspecified hip
ICD10CM,M05.16,Rheumatoid lung disease with rheumatoid arthritis of knee
ICD10CM,M05.161,Rheumatoid lung disease with rheumatoid arthritis of right knee
ICD10CM,M05.162,Rheumatoid lung disease with rheumatoid arthritis of left knee
ICD10CM,M05.169,Rheumatoid lung disease with rheumatoid arthritis of unspecified knee
ICD10CM,M05.17,Rheumatoid lung disease with rheumatoid arthritis of ankle and foot
ICD10CM,M05.171,Rheumatoid lung disease with rheumatoid arthritis of right ankle and foot
ICD10CM,M05.172,Rheumatoid lung disease with rheumatoid arthritis of left ankle and foot
ICD10CM,M05.179,Rheumatoid lung disease with rheumatoid arthritis of unspecified ankle and foot
ICD10CM,M05.19,Rheumatoid lung disease with rheumatoid arthritis of multiple sites
ICD10CM,M05.2,Rheumatoid vasculitis with rheumatoid arthritis
ICD10CM,M05.20,Rheumatoid vasculitis with rheumatoid arthritis of unspecified site
ICD10CM,M05.21,Rheumatoid vasculitis with rheumatoid arthritis of shoulder
ICD10CM,M05.211,Rheumatoid vasculitis with rheumatoid arthritis of right shoulder
ICD10CM,M05.212,Rheumatoid vasculitis with rheumatoid arthritis of left shoulder
ICD10CM,M05.219,Rheumatoid vasculitis with rheumatoid arthritis of unspecified shoulder
ICD10CM,M05.22,Rheumatoid vasculitis with rheumatoid arthritis of elbow
ICD10CM,M05.221,Rheumatoid vasculitis with rheumatoid arthritis of right elbow
ICD10CM,M05.222,Rheumatoid vasculitis with rheumatoid arthritis of left elbow
ICD10CM,M05.229,Rheumatoid vasculitis with rheumatoid arthritis of unspecified elbow
ICD10CM,M05.23,Rheumatoid vasculitis with rheumatoid arthritis of wrist
ICD10CM,M05.231,Rheumatoid vasculitis with rheumatoid arthritis of right wrist
ICD10CM,M05.232,Rheumatoid vasculitis with rheumatoid arthritis of left wrist
ICD10CM,M05.239,Rheumatoid vasculitis with rheumatoid arthritis of unspecified wrist
ICD10CM,M05.24,Rheumatoid vasculitis with rheumatoid arthritis of hand
ICD10CM,M05.241,Rheumatoid vasculitis with rheumatoid arthritis of right hand
ICD10CM,M05.242,Rheumatoid vasculitis with rheumatoid arthritis of left hand
ICD10CM,M05.249,Rheumatoid vasculitis with rheumatoid arthritis of unspecified hand
ICD10CM,M05.25,Rheumatoid vasculitis with rheumatoid arthritis of hip
ICD10CM,M05.251,Rheumatoid vasculitis with rheumatoid arthritis of right hip
ICD10CM,M05.252,Rheumatoid vasculitis with rheumatoid arthritis of left hip
ICD10CM,M05.259,Rheumatoid vasculitis with rheumatoid arthritis of unspecified hip
ICD10CM,M05.26,Rheumatoid vasculitis with rheumatoid arthritis of knee
ICD10CM,M05.261,Rheumatoid vasculitis with rheumatoid arthritis of right knee
ICD10CM,M05.262,Rheumatoid vasculitis with rheumatoid arthritis of left knee
ICD10CM,M05.269,Rheumatoid vasculitis with rheumatoid arthritis of unspecified knee
ICD10CM,M05.27,Rheumatoid vasculitis with rheumatoid arthritis of ankle and foot
ICD10CM,M05.271,Rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot
ICD10CM,M05.272,Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot
ICD10CM,M05.279,Rheumatoid vasculitis with rheumatoid arthritis of unspecified ankle and foot
ICD10CM,M05.29,Rheumatoid vasculitis with rheumatoid arthritis of multiple sites
ICD10CM,M05.3,Rheumatoid heart disease with rheumatoid arthritis
ICD10CM,M05.30,Rheumatoid heart disease with rheumatoid arthritis of unspecified site
