CodeSystem,ConceptCode,ConceptName
ICD10CM,O13,Gestational [pregnancy-induced] hypertension without significant proteinuria
ICD10CM,O14.0,Mild to moderate pre-eclampsia
ICD10CM,O14.9,Unspecified pre-eclampsia
ICD10CM,O13.1,"Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester"
ICD10CM,O13.2,"Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester"
ICD10CM,O13.3,"Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester"
ICD10CM,O13.4,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth"
ICD10CM,O13.5,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating the puerperium"
ICD10CM,O13.9,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester"
ICD10CM,O14.00,"Mild to moderate pre-eclampsia, unspecified trimester"
ICD10CM,O14.02,"Mild to moderate pre-eclampsia, second trimester"
ICD10CM,O14.03,"Mild to moderate pre-eclampsia, third trimester"
ICD10CM,O14.04,"Mild to moderate pre-eclampsia, complicating childbirth"
ICD10CM,O14.05,"Mild to moderate pre-eclampsia, complicating the puerperium"
ICD10CM,O14.90,"Unspecified pre-eclampsia, unspecified trimester"
ICD10CM,O14.92,"Unspecified pre-eclampsia, second trimester"
ICD10CM,O14.93,"Unspecified pre-eclampsia, third trimester"
ICD10CM,O14.94,"Unspecified pre-eclampsia, complicating childbirth"
ICD10CM,O14.95,"Unspecified pre-eclampsia, complicating the puerperium"
ICD9CM,642.3,Transient hypertension of pregnancy
ICD9CM,642.4,Mild or unspecified pre-eclampsia
ICD9CM,642.7,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension
SNOMED CT,765182005,Postpartum pre-eclampsia
SNOMED CT,41114007,Mild pre-eclampsia
