CodeSystem,ConceptCode,ConceptName
SNOMED CT,1955003,Preauricular dimple
SNOMED CT,11144004,Congenital stricture of osseous meatus of middle ear
SNOMED CT,15188001,Hearing loss
SNOMED CT,21905007,Congenital anomaly of middle ear
SNOMED CT,457061000124107,Congenital malformation of right external ear
SNOMED CT,1085711000119101,Congenital split ear lobe
SNOMED CT,1089891000119102,Misshapen ear
SNOMED CT,15864131000119107,Congenital anomaly of left ear
SNOMED CT,15864171000119105,Congenital anomaly of right ear
SNOMED CT,15864251000119108,Congenital atresia of left external ear
SNOMED CT,15864291000119103,Congenital atresia of right external ear
SNOMED CT,15983431000119106,Accessory auricle of right ear
SNOMED CT,15983471000119109,Accessory auricle of left ear
SNOMED CT,15984551000119102,Congenital anomaly of right external ear with impairment of hearing
SNOMED CT,15984591000119107,Congenital anomaly of left external ear with impairment of hearing
SNOMED CT,29715005,Darwin tubercle
SNOMED CT,43353004,Congenital abnormality of inner ear
SNOMED CT,609125008,Acquired sensorineural hearing loss
SNOMED CT,700453005,Congenital sensorineural hearing loss
SNOMED CT,155255001,Conductive hearing loss
SNOMED CT,204256004,Congenital pointed ear
SNOMED CT,204258003,Congenital ridge ear
SNOMED CT,232217008,Congenital deformity of pinna
SNOMED CT,35547002,Polyotia
SNOMED CT,40320008,Double auditory canal
SNOMED CT,43557002,Congenital stricture of external auditory canal
SNOMED CT,44057004,Conductive hearing loss
SNOMED CT,49224008,Supernumerary ear lobule
SNOMED CT,57436000,Congenital absence of external ear
SNOMED CT,60700002,Sensorineural hearing loss
SNOMED CT,71619006,Congenital absence of ear
SNOMED CT,75231006,Congenital absence of eustachian tube
SNOMED CT,75355004,Congenital atresia of external auditory canal
SNOMED CT,268172000,Misplaced ear
SNOMED CT,275259005,Congenital malformation of ear
SNOMED CT,1169356004,"Early-onset progressive encephalopathy, hearing loss, pons hypoplasia, brain atrophy syndrome"
SNOMED CT,1173035001,Combined oxidative phosphorylation defect type 25
SNOMED CT,1220595008,"Cataract, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, skeletal dysplasia syndrome"
SNOMED CT,1197059004,"Congenital ichthyosis, microcephalus, tetraplegia syndrome"
SNOMED CT,1230014007,Duane retraction syndrome with congenital deafness
SNOMED CT,1208480004,"Epibulbar lipodermoid, preauricular appendage, polythelia syndrome"
SNOMED CT,1179361001,Maternal perinatal sensorineural hearing loss
SNOMED CT,1230344000,"Microphthalmia, microtia, fetal akinesia syndrome"
SNOMED CT,1222655009,"Optic atrophy, ataxia, peripheral neuropathy, global developmental delay syndrome"
SNOMED CT,1228871002,PCNA-related progressive neurodegenerative photosensitivity syndrome
SNOMED CT,1230412003,Profound hearing loss
SNOMED CT,1222649004,"Auditory neuropathy, optic atrophy syndrome"
SNOMED CT,1208614008,Autosomal dominant deafness with onychodystrophy syndrome
SNOMED CT,1229999001,"Autosomal dominant myopia, midfacial retrusion, sensorineural hearing loss, rhizomelic dysplasia syndrome"
SNOMED CT,1204415006,"Autosomal recessive spinocerebellar ataxia, blindness, deafness syndrome"
SNOMED CT,1186656004,Congenital deficiency of cochlear nerve
SNOMED CT,1172635005,"Split-foot malformation, mesoaxial polydactyly syndrome"
SNOMED CT,1187512003,Non-syndromic mitochondrial sensorineural deafness
SNOMED CT,1172605003,"Retinitis pigmentosa, hearing loss, premature aging, short stature, facial dysmorphism syndrome"
SNOMED CT,1167372000,"X-linked external auditory canal atresia, dilated internal auditory canal, facial dysmorphism syndrome"
SNOMED CT,1172604004,DIAPH1-related sensorineural hearing loss-thrombocytopenia syndrome
SNOMED CT,1179555000,Fetal sensorineural hearing loss
SNOMED CT,2061000,Conductive hearing loss of combined sites
