CodeSystem,ConceptCode,ConceptName
ICD10CM,F10,Alcohol related disorders
ICD10CM,F11,Opioid related disorders
ICD10CM,F12,Cannabis related disorders
ICD10CM,F13,"Sedative, hypnotic, or anxiolytic related disorders"
ICD10CM,F14,Cocaine related disorders
ICD10CM,F15,Other stimulant related disorders
ICD10CM,F16,Hallucinogen related disorders
ICD10CM,F17,Nicotine dependence
ICD10CM,F18,Inhalant related disorders
ICD10CM,F19,Other psychoactive substance related disorders
ICD10CM,O99.31,"Alcohol use complicating pregnancy, childbirth, and the puerperium"
ICD10CM,O99.32,"Drug use complicating pregnancy, childbirth, and the puerperium"
ICD10CM,F10.1,Alcohol abuse
ICD10CM,F10.10,"Alcohol abuse, uncomplicated"
ICD10CM,F10.11,"Alcohol abuse, in remission"
ICD10CM,F10.12,Alcohol abuse with intoxication
ICD10CM,F10.120,"Alcohol abuse with intoxication, uncomplicated"
ICD10CM,F10.121,Alcohol abuse with intoxication delirium
ICD10CM,F10.129,"Alcohol abuse with intoxication, unspecified"
ICD10CM,F10.14,Alcohol abuse with alcohol-induced mood disorder
ICD10CM,F10.15,Alcohol abuse with alcohol-induced psychotic disorder
ICD10CM,F10.150,Alcohol abuse with alcohol-induced psychotic disorder with delusions
ICD10CM,F10.151,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations
ICD10CM,F10.159,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified"
ICD10CM,F10.18,Alcohol abuse with other alcohol-induced disorders
ICD10CM,F10.180,Alcohol abuse with alcohol-induced anxiety disorder
ICD10CM,F10.181,Alcohol abuse with alcohol-induced sexual dysfunction
ICD10CM,F10.182,Alcohol abuse with alcohol-induced sleep disorder
ICD10CM,F10.188,Alcohol abuse with other alcohol-induced disorder
ICD10CM,F10.19,Alcohol abuse with unspecified alcohol-induced disorder
ICD10CM,F10.2,Alcohol dependence
ICD10CM,F10.20,"Alcohol dependence, uncomplicated"
ICD10CM,F10.21,"Alcohol dependence, in remission"
ICD10CM,F10.22,Alcohol dependence with intoxication
ICD10CM,F10.220,"Alcohol dependence with intoxication, uncomplicated"
ICD10CM,F10.221,Alcohol dependence with intoxication delirium
ICD10CM,F10.229,"Alcohol dependence with intoxication, unspecified"
ICD10CM,F10.23,Alcohol dependence with withdrawal
ICD10CM,F10.230,"Alcohol dependence with withdrawal, uncomplicated"
ICD10CM,F10.231,Alcohol dependence with withdrawal delirium
ICD10CM,F10.232,Alcohol dependence with withdrawal with perceptual disturbance
ICD10CM,F10.239,"Alcohol dependence with withdrawal, unspecified"
ICD10CM,F10.24,Alcohol dependence with alcohol-induced mood disorder
ICD10CM,F10.25,Alcohol dependence with alcohol-induced psychotic disorder
ICD10CM,F10.250,Alcohol dependence with alcohol-induced psychotic disorder with delusions
ICD10CM,F10.251,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations
ICD10CM,F10.259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
ICD10CM,F10.26,Alcohol dependence with alcohol-induced persisting amnestic disorder
ICD10CM,F10.27,Alcohol dependence with alcohol-induced persisting dementia
ICD10CM,F10.28,Alcohol dependence with other alcohol-induced disorders
