CodeSystem,ConceptCode,ConceptName
ICD10CM,I26.01,Septic pulmonary embolism with acute cor pulmonale
ICD10CM,I26.02,Saddle embolus of pulmonary artery with acute cor pulmonale
ICD10CM,I26.09,Other pulmonary embolism with acute cor pulmonale
ICD10CM,I26.92,Saddle embolus of pulmonary artery without acute cor pulmonale
ICD10CM,I26.93,Single subsegmental pulmonary embolism without acute cor pulmonale
ICD10CM,I26.94,Multiple subsegmental pulmonary emboli without acute cor pulmonale
ICD10CM,I26.99,Other pulmonary embolism without acute cor pulmonale
SNOMED CT,328511000119109,Saddle embolus of pulmonary artery
SNOMED CT,15964701000119109,Saddle embolus of pulmonary artery with acute cor pulmonale
SNOMED CT,49584005,Acute cor pulmonale
SNOMED CT,59282003,Pulmonary embolism
SNOMED CT,1163244009,Postoperative pulmonary thromboembolism
SNOMED CT,2261009,Obstetrical pulmonary fat embolism
SNOMED CT,11454006,Failed attempted termination of pregnancy with amniotic fluid embolism
SNOMED CT,82153002,Miscarriage with pulmonary embolism
Truveta,1215970,Pulmonary embolism associated with COVID-19
SNOMED CT,860680001,Pulmonary embolism due to and following ectopic pregnancy
SNOMED CT,860681002,Pulmonary embolism due to and following molar pregnancy
SNOMED CT,1001000119102,Pulmonary embolism with pulmonary infarction
SNOMED CT,133971000119108,Chronic pulmonary embolism
SNOMED CT,10759311000119104,Pulmonary embolism in childbirth
SNOMED CT,609480009,Induced termination of pregnancy complicated by pulmonary embolism
SNOMED CT,703636009,Pulmonary oil microembolism
SNOMED CT,706870000,Acute pulmonary embolism
SNOMED CT,707412000,Chronic pulmonary thromboembolism
SNOMED CT,707413005,Chronic pulmonary thromboembolism without pulmonary hypertension
SNOMED CT,707414004,Acute pulmonary thromboembolism
SNOMED CT,713078005,Pulmonary embolism on long-term anticoagulation therapy
SNOMED CT,723859005,Pulmonary embolism due to and following acute myocardial infarction
SNOMED CT,194883006,Postoperative pulmonary embolus
SNOMED CT,200284000,Obstetric pulmonary embolism
SNOMED CT,200286003,Obstetric air pulmonary embolism
SNOMED CT,200288002,Obstetric air pulmonary embolism - delivered
SNOMED CT,200290001,Obstetric air pulmonary embolism with antenatal complication
SNOMED CT,200291002,Obstetric air pulmonary embolism with postnatal complication
SNOMED CT,200294005,Amniotic fluid pulmonary embolism - delivered
SNOMED CT,200299000,Obstetric pulmonary thromboembolism
SNOMED CT,200301007,Obstetric blood-clot pulmonary embolism - delivered
SNOMED CT,200303005,Obstetric blood-clot pulmonary embolism with antenatal complication
SNOMED CT,200304004,Obstetric blood-clot pulmonary embolism with postnatal complication
SNOMED CT,200308001,Obstetric pyemic and septic pulmonary embolism - delivered
SNOMED CT,200310004,Obstetric pyemic and septic pulmonary embolism with antenatal complication
SNOMED CT,200311000,Obstetric pyemic and septic pulmonary embolism with postnatal complication
SNOMED CT,233935004,Pulmonary thromboembolism
SNOMED CT,233936003,Acute massive pulmonary embolism
SNOMED CT,233937007,Subacute massive pulmonary embolism
SNOMED CT,233938002,Pulmonary fat embolism
SNOMED CT,233939005,Subacute pulmonary fat embolism
SNOMED CT,233940007,Pulmonary tumor embolism
SNOMED CT,237342006,Fat embolism - obstetric
SNOMED CT,51096002,Legal termination of pregnancy with pulmonary embolism
SNOMED CT,55589000,Illegal termination of pregnancy with pulmonary embolism
SNOMED CT,58123006,Failed attempted termination of pregnancy with pulmonary embolism
SNOMED CT,74315008,Pulmonary microemboli
SNOMED CT,438773007,Recurrent pulmonary embolism
SNOMED CT,441557008,Septic pulmonary embolism
SNOMED CT,267284008,Obstetric pyemic and septic pulmonary embolism
SNOMED CT,280964006,Pulmonary air embolism
SNOMED CT,15964661000119102,Acute cor pulmonale due to septic pulmonary embolism
